2025-10-22 18:24:53.687; INFO; Loopback Stream; 16056; 8660] CallLibrary End
2025-10-22 18:25:09.107; INFO; AC_FDSPlugIn; 16056; 18868] BroadcastForegroundEvent: HWND=c0994, pid=15356, type=WIN32, path=C:\Users\chefb\AppData\Local\Programs\Microsoft VS Code\Code.exe, origin_path=C:\Users\chefb\AppData\Local\Programs\Microsoft VS Code\Code.exe
2025-10-22 18:25:09.111; INFO; AC_FDSPlugIn; 16056; 5912] CallLibrary Start
2025-10-22 18:25:09.111; INFO; AC_FDSPlugIn; 16056; 5912] CallLibrary End
2025-10-22 18:25:23.331; INFO; AC_FDSPlugIn; 16056; 18868] BroadcastForegroundEvent: HWND=2803d2, pid=24924, type=WIN32, path=C:\Program Files\Google\Chrome\Application\chrome.exe, origin_path=C:\Program Files\Google\Chrome\Application\chrome.exe
2025-10-22 18:25:23.335; INFO; AC_FDSPlugIn; 16056; 24516] CallLibrary Start
2025-10-22 18:25:23.335; INFO; AC_FDSPlugIn; 16056; 24516] CallLibrary End
2025-10-22 18:25:23.693; INFO; Loopback Stream; 16056; 11948] CallLibrary Start
2025-10-22 18:25:23.693; INFO; Loopback Stream; 16056; 11948] CallLibrary End
2025-10-22 18:25:53.706; INFO; Loopback Stream; 16056; 26456] CallLibrary Start
2025-10-22 18:25:53.706; INFO; Loopback Stream; 16056; 26456] CallLibrary End
2025-10-22 18:26:23.715; INFO; Loopback Stream; 16056; 12012] CallLibrary Start
2025-10-22 18:26:23.715; INFO; Loopback Stream; 16056; 12012] CallLibrary End
2025-10-22 18:26:53.720; INFO; Loopback Stream; 16056; 20704] CallLibrary Start
2025-10-22 18:26:53.720; INFO; Loopback Stream; 16056; 20704] CallLibrary End
2025-10-22 18:26:59.990; INFO; AC_FDSPlugIn; 16056; 18868] BroadcastForegroundEvent: HWND=701a6, pid=24924, type=WIN32, path=C:\Program Files\Google\Chrome\Application\chrome.exe, origin_path=C:\Program Files\Google\Chrome\Application\chrome.exe
2025-10-22 18:26:59.994; INFO; AC_FDSPlugIn; 16056; 13424] CallLibrary Start
2025-10-22 18:26:59.994; INFO; AC_FDSPlugIn; 16056; 13424] CallLibrary End
2025-10-22 18:27:23.726; INFO; Loopback Stream; 16056; 24572] CallLibrary Start
2025-10-22 18:27:23.726; INFO; Loopback Stream; 16056; 24572] CallLibrary End
2025-10-22 18:27:48.722; INFO; AC_FDSPlugIn; 16056; 18868] BroadcastForegroundEvent: HWND=c0994, pid=15356, type=WIN32, path=C:\Users\chefb\AppData\Local\Programs\Microsoft VS Code\Code.exe, origin_path=C:\Users\chefb\AppData\Local\Programs\Microsoft VS Code\Code.exe
2025-10-22 18:27:48.725; INFO; AC_FDSPlugIn; 16056; 15964] CallLibrary Start
2025-10-22 18:27:48.725; INFO; AC_FDSPlugIn; 16056; 15964] CallLibrary End
2025-10-22 18:27:53.744; INFO; Loopback Stream; 16056; 24316] CallLibrary Start
2025-10-22 18:27:53.744; INFO; Loopback Stream; 16056; 24316] CallLibrary End
2025-10-22 18:27:54.067; INFO; AC_FDSPlugIn; 16056; 18868] BroadcastForegroundEvent: HWND=c09d4, pid=15356, type=WIN32, path=C:\Users\chefb\AppData\Local\Programs\Microsoft VS Code\Code.exe, origin_path=C:\Users\chefb\AppData\Local\Programs\Microsoft VS Code\Code.exe
2025-10-22 18:27:54.070; INFO; AC_FDSPlugIn; 16056; 20624] CallLibrary Start
2025-10-22 18:27:54.070; INFO; AC_FDSPlugIn; 16056; 20624] CallLibrary End
2025-10-22 18:28:00.447; INFO; AC_FDSPlugIn; 16056; 18868] BroadcastForegroundEvent: HWND=c0994, pid=15356, type=WIN32, path=C:\Users\chefb\AppData\Local\Programs\Microsoft VS Code\Code.exe, origin_path=C:\Users\chefb\AppData\Local\Programs\Microsoft VS Code\Code.exe
2025-10-22 18:28:00.451; INFO; AC_FDSPlugIn; 16056; 14832] CallLibrary Start
2025-10-22 18:28:00.451; INFO; AC_FDSPlugIn; 16056; 14832] CallLibrary End
2025-10-22 18:28:23.758; INFO; Loopback Stream; 16056; 15996] CallLibrary Start
2025-10-22 18:28:23.758; INFO; Loopback Stream; 16056; 15996] CallLibrary End
2025-10-22 18:28:53.775; INFO; Loopback Stream; 16056; 2224] CallLibrary Start
2025-10-22 18:28:53.775; INFO; Loopback Stream; 16056; 2224] CallLibrary End
2025-10-22 18:29:19.300; INFO; AC_FDSPlugIn; 16056; 18868] BroadcastForegroundEvent: HWND=701a6, pid=24924, type=WIN32, path=C:\Program Files\Google\Chrome\Application\chrome.exe, origin_path=C:\Program Files\Google\Chrome\Application\chrome.exe
2025-10-22 18:29:19.304; INFO; AC_FDSPlugIn; 16056; 23524] CallLibrary Start
2025-10-22 18:29:19.304; INFO; AC_FDSPlugIn; 16056; 23524] CallLibrary End
2025-10-22 18:29:23.792; INFO; Loopback Stream; 16056; 20440] CallLibrary Start
2025-10-22 18:29:23.793; INFO; Loopback Stream; 16056; 20440] CallLibrary End
2025-10-22 18:29:26.992; INFO; AC_FDSPlugIn; 16056; 18868] BroadcastForegroundEvent: HWND=c0994, pid=15356, type=WIN32, path=C:\Users\chefb\AppData\Local\Programs\Microsoft VS Code\Code.exe, origin_path=C:\Users\chefb\AppData\Local\Programs\Microsoft VS Code\Code.exe
2025-10-22 18:29:26.995; INFO; AC_FDSPlugIn; 16056; 19696] CallLibrary Start
2025-10-22 18:29:26.995; INFO; AC_FDSPlugIn; 16056; 19696] CallLibrary End
2025-10-22 18:29:43.372; INFO; AC_FDSPlugIn; 16056; 18868] BroadcastForegroundEvent: HWND=1cb09b2, pid=15356, type=WIN32, path=C:\Users\chefb\AppData\Local\Programs\Microsoft VS Code\Code.exe, origin_path=C:\Users\chefb\AppData\Local\Programs\Microsoft VS Code\Code.exe
2025-10-22 18:29:43.377; INFO; AC_FDSPlugIn; 16056; 26860] CallLibrary Start
2025-10-22 18:29:43.377; INFO; AC_FDSPlugIn; 16056; 26860] CallLibrary End
